Common Name,Primary Genre,Combined Genres,TimeBirth,TimeDeath,Birth-Death Text,Abstract,City Text,County text,Personal Website,PSU Catalog Link - HTML,Expanded Biography,PIC_URL,Latitude,Longitude,Photo Credit,Alt Text,City | County | Bio Link,PSU Link | Personal Website
Hedda Hopper,Journalism,Journalism,05/02/1905,2/1/1966,5/2/1885 - 2/1/1966,"<p>The legendary gossip columnist Hedda Hopper was born with the not-so-legendary name of Elda Furry in Hollidaysburg in 1890. After running away to New York to make a career in show business, she married DeWolf Hopper. While she had a successful run of silent pictures, her fortunes waned with the advent of talking pictures. She found her calling as a gossip columnist, making and breaking careers in Hollywood during her vaunted feud with Louella Parsons. She died in California in 1966 and was brought home to rest in Altoona.</p>","Hollidaysburg, PA",Blair County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Hopper%2C+Hedda%2C+1885-1966"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Furry__Elda"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Furry__Elda.jpg,40.42589,-78.388442,Photo Credit: Photoplay magazine. Photograph of Hedda Hopper. ca. 1930. Photograph. Licensed under Public Domain. Cropped to 4x3. Source: Wikimedia Commons. Source: https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Hedda_Hopper_Stars_of_the_Photoplay.jpg/428px-Hedda_Hopper_Stars_of_the_Photoplay.jpg.,,"Hollidaysburg, PA | Blair County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Furry__Elda"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Hopper%2C+Hedda%2C+1885-1966"" target=""_blank"">PSU Catalog Link</a>"
Jay Hosler,Graphic/Comic,Graphic/Comic,11/26/1986,1/1/2050,Born: 11/26/1966,"<p>Jay Hosler is a Professor of Biology at Juniata College in Huntingdon, Pennsylvania, who has taught scientific subjects through graphic novels and short comics and is the creator of comics, such as <em>Clan Apis</em> (2000) and <em>The Sandwalk Adventures</em> (2003).</p>","Huntingdon, PA",Huntingdon County,https://jayhosler.com,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Hosler%2C+Jay+(Jay+S.)"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Hosler__Jay"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Hosler__Jay.jpg,40.499589,-78.016046,Photo Credit: Juniata College. Jay Hosler. 11 Aug 2015. Photograph. Licensed under CC BY-SA 4.0. Cropped to 4x3. Source: Wikimedia Commons. Pennsylvania.Source: https://commons.wikimedia.org/wiki/File:Jay-hosler-012a.jpg.,,"Huntingdon, PA | Huntingdon County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Hosler__Jay"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Hosler%2C+Jay+(Jay+S.)"" target=""_blank"">PSU Catalog Link</a> | <a href=""https://jayhosler.com"" target=""_blank"">Personal Website</a>"
Elizabeth Fitzgerald Howard,Children's,Children's,12/28/1947,1/1/2050,Born: 12/28/1927,"<p>Elizabeth Fitzgerald Howard, born in Baltimore, Maryland on December 28, 1927, is an author of esteemed children's books. Many of her stories about African American families have received awards throughout the years. Not only is Howard a great children's book author, she is also a professor and has been a librarian over the course of her life. Howard spends her time serving on committee boards and keeping active memberships with many literature associations.</p>","Pittsburgh, PA",Allegheny County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Howard%2C+Elizabeth+Fitzgerald"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Howard__Elizabeth_Fitzgerald"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Howard__Elizabeth_Fitzgerald.jpg,40.442647,-79.95173,Photo Credit: The Train to Lulu's. ca. 1994. Cover Copy. Licensed under Fair Use. Cropped to 4x3. Source: Aladdin Paperbacks. Source: Online Resource. Source: https://images.gr-assets.com/books/1266668939l/898751.jpg.,,"Pittsburgh, PA | Allegheny County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Howard__Elizabeth_Fitzgerald"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Howard%2C+Elizabeth+Fitzgerald"" target=""_blank"">PSU Catalog Link</a>"
Harry Humes,Poetry,Poetry,06/05/1955,1/1/2050,Born: 6/5/1935,"<p>Born into a small coal-mining community in Schuylkill County, Pennsylvania, Harry Humes channeled his formative years into several award-winning poetry collections. He is the recipient of <em>Poetry Northwest</em>'s Theodore Roethke Poetry Prize, a National Endowment of the Arts Poetry Fellowship, and several grants from the Pennsylvania Council on the Arts. Humes also had his collection <em>Butterfly Effect </em>(1999) published for the National Poetry Series. He has held professorships at Kutztown University and Cedar Crest College in Allentown, Pennsylvania. In 2001, he was a featured poet in the <a href=""https://pabook.libraries.psu.edu/awards-contests/public-poetry-project?field_award_year_value=2001"" target=""_blank"">Public Poetry Project of the Pennsylvania Center for the Book</a>.</p>","Kutztown, PA",Berks County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Humes%2C+Harry"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Humes__Harry"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Humes__Harry.jpg,40.513383,-75.787339,"Photo Credit: Prof. Harry Humes, Assistant Professor Emeritus of English. Photograph. Licensed under Fair Use. Cropped to 4x3, Removed and filled background. Source: Seven Kitchens Press. Source: Online Resource. Source: https://www.kutztown.edu/Images/differencemakers/HumesHarryLB.jpg.",,"Kutztown, PA | Berks County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Humes__Harry"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Humes%2C+Harry"" target=""_blank"">PSU Catalog Link</a>"
Kristin Hunter,Fiction,Fiction,09/12/1951,11/14/2008,9/12/1931 - 11/14/2008,"<p>Kristin Hunter Lattany, born on September 12, 1931, in Philadelphia, Pennsylvania, was a very accomplished and renowned novelist. In her life span, she published eleven works, four for children and seven for adults, as well as many short stories and articles. Some of her most popular works include, <em>God Bless the Child </em>(1964), <em>Kinfolks </em>(1996)<em>,</em> <em>Do Unto Others</em> (2000)<em>,</em> and <em>Breaking Away </em>(2003)<em>.</em> Her writing mainly focused on black life and racial relations in the United States, and this theme is seen in both children's stories and novels for adult audiences. She died on November 14, 2008, at the age of 77.</p>","Philadelphia, PA",Philadelphia County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Lattany%2C+Kristin+Hunter%2C+1931-2008"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Hunter__Kristin"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Lattany__Kristin_Hunter.jpg,39.951992,-75.192437,"Photo Credit: Photograph of Kristin Hunter Lattany. Photograph. Licensed under Fair Use. Cropped to 4x3, Filled background. Source: Online Resource. Source: http://4.bp.blogspot.com/-U7Rft2pfOAw/UW4MKFSchqI/AAAAAAAAAHw/pJT0EZBCrXk/s1600/Kristin-Lattany1.jpg.",,"Philadelphia, PA | Philadelphia County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Hunter__Kristin"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Lattany%2C+Kristin+Hunter%2C+1931-2008"" target=""_blank"">PSU Catalog Link</a>"
Lee Iacocca,Nonfiction,Nonfiction,10/15/1944,7/2/2019,10/15/1924 - 7/2/2019,"<p>Corporate executive and early 1980s icon Lee Iacocca was born in Allentown, Pennsylvania, in 1924 and attended Lehigh University. Read more <a href=""https://www.iacoccafoundation.org/about/lee-iacocca"" target=""_blank"">here</a>.</p><p>Lee Iacocca. <em>The Iacocca Family Foundation website. </em>2010. 6 November 2018.</p>","Allentown, PA",Lehigh County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Iacocca%2C+Lee+A."" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Iacocca__Lido_Anthony"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Iacocca__Lee.jpg,40.641337,-75.428658,"Photo Credit: Ralph Answang. This item is a photograph of President William J. Clinton meeting with Lee Iacocca in the Oval Office of the White House. The image was photographed by Ralph Alswang. 23 Sep 1993. Photograph. Licensed under Public Domain. Cropped to 4x3. Source: Wikimedia Commons. Washington , DC.Source: https://commons.wikimedia.org/wiki/File:President_Bill_Clinton_meets_with_Lee_Iacocca_in_1993.jpg.",,"Allentown, PA | Lehigh County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Iacocca__Lido_Anthony"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Iacocca%2C+Lee+A."" target=""_blank"">PSU Catalog Link</a>"
Albert Innaurato,Screenwriting / Playwriting,Screenwriting / Playwriting,06/02/1967,9/24/2017,6/2/1947 - 9/24/2017,"<p>South Philadelphia native and playwright, Albert Innaurato attended the Yale School of Drama. After battling illness, he was able to complete his widely successful play, <em>Gemini</em> (1977), which ran for four years on Broadway. A jack of many trades, Innaurato also worked as a journalist, critic, and lecturer. Innaurato passed away on September 24, 2017, at the age of 70.</p>","Philadelphia, PA",Philadelphia County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Innaurato%2C+Albert%2C+1947-2017"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Innaurato__Albert"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Innaurato__Albert.jpg,40.037278,-75.149518,Photo Credit: Albert Innaurato. Photograph. Licensed under Fair Use. Cropped to 4x3. Source: Online Resource. Source: https://i1.wp.com/stagevoices.com/wp-content/uploads/2017/09/AlbertInnaurato.jpg?w=400&ssl=1.,,"Philadelphia, PA | Philadelphia County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Innaurato__Albert"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Innaurato%2C+Albert%2C+1947-2017"" target=""_blank"">PSU Catalog Link</a>"
Major Jackson,Poetry,Poetry,09/09/1988,1/1/2050,Born: 9/9/1968,"<p>Major Jackson was born in Philadelphia, Pennsylvania on September 9, 1968. Jackson graduated from Temple University with a degree in accounting and earned an MFA in Creative Writing at the University of Oregon. Two of his volumes of poetry, <em>Leaving Saturn</em>(2002) and <em>Hoops (2007)</em>, draw inspiration from his upbringing in Philadelphia and have earned him various awards and acknowledgments. He has worked for the Painted Bride Art Center in Philadelphia and has taught at various universities, such as Xavier University of Louisiana and the University of Vermont. His work was selected for the Pennsylvania Center for the Book's 2010 Public Poetry Project.</p>","Philadelphia, PA",Philadelphia County,https://www.majorjackson.com/,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Jackson%2C+Major%2C+1968-"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Jackson__Major"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Jackson__Major.jpg,39.955502,-75.143895,"Photo Credit: American poet, professor and author of four collections of poetry. Photograph. Licensed under Fair Use. Cropped to 4x3. Source: Online Resource. Source: http://www.majorjackson.com/wp-content/uploads/2018/10/jackson121-1024x683.jpg.",,"Philadelphia, PA | Philadelphia County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Jackson__Major"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Jackson%2C+Major%2C+1968-"" target=""_blank"">PSU Catalog Link</a> | <a href=""https://www.majorjackson.com/"" target=""_blank"">Personal Website</a>"
Lori Jakiela,Nonfiction,Nonfiction | Poetry,02/06/1984,1/1/2050,Born: 2/6/1964,"<p>Lori Jakiela was born in Pittsburgh in 1964. Adopted by a family in Trafford, Pennsylvania, she has made that town her home ever since. After widely varied careers that included being a newspaper reporter and a flight attendant, she began writing and published books, including her volume of poetry, <em>The Regulars </em>(2001)<em>,</em> and her essay collection, <em>Portrait of the Artist as a Bingo Worker </em>(2017)<em>.</em> At the time of this writing, Jakiela is a Professor of English and Creative Writing at the University of Pittsburgh - Greensburg.</p>","Trafford, PA",Allegheny County,http://www.lorijakiela.net/,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Jakiela,+Lori"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Jakiela__Lori"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Jakiela__Lori.jpg,40.385625,-79.758935,"Photo Credit: Photograph of Lori Jakiela. Photograph. Licensed under Fair Use. Cropped to 4x3, Blurred/Filled background. Source: Online Resource. Source: http://www.lorijakiela.net/images/FullSizeRender-2-330.jpg.",,"Trafford, PA | Allegheny County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Jakiela__Lori"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Jakiela,+Lori"" target=""_blank"">PSU Catalog Link</a> | <a href=""http://www.lorijakiela.net/"" target=""_blank"">Personal Website</a>"
Sharon Jarvis,Fiction,Fiction | Other,10/01/1963,1/1/2050,Born: 10/1/1943,"<p>Born in 1943 in New York, Sharon Jarvis began her career as a copy editor and copywriter. She helped pioneer the way for women in the science fiction field by becoming a successful writer, editor, and publisher. At the time of this writing, Jarvis lives in Laceyville, Pennsylvania.</p>","Laceysville, PA",Wyoming County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Jarvis%2C+Sharon"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Jarvis__Sharon"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Jarvis__Sharon.jpg,41.645909,-76.161319,"Photo Credit: True Tales of the Unknown. ca. 1985. Cover Copy. Licensed under Fair Use. Cropped to 4x3, Filled background. Source: Bantam. Source: Online Resource. Source: https://images.gr-assets.com/books/1297141756l/8486565.jpg.",,"Laceysville, PA | Wyoming County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Jarvis__Sharon"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Jarvis%2C+Sharon"" target=""_blank"">PSU Catalog Link</a>"
